l0,l1,cycle,dsp,ii
8,2,2,4294967320,86,2
8,4,1,23622320581,5,11
1,1,16,1108135124994,5,270540802
1,2,8,8589934616,64,2
1,4,4,17179869222,32,4
1,8,2,34359738434,16,8
1,16,1,1108103667714,5,270533122
2,1,8,4294967313,104,1
2,2,4,8589934616,52,2
2,4,2,17179869222,26,4
2,8,1,38654705787,8,9
4,1,4,4294967313,92,1
4,2,2,8589934616,46,2
4,4,1,30064771265,8,7
8,1,2,4294967313,86,1
8,2,1,38654705895,5,9
1,1,8,1116725059586,5,272637954
1,2,4,17179869208,32,2
1,4,2,34359738406,16,4
1,8,1,1116695699458,5,272630786
2,1,4,8589934609,52,1
2,2,2,17179869208,26,2
2,4,1,42949673023,8,5
4,1,2,8589934609,46,1
4,2,1,42949673059,8,5
8,1,1,1116695692290,5,-2113921022
1,32,524296,98
1,16,1048584,50
1,32,524296,98
1,16,1048584,50
1,32,524296,100
1,16,1048584,208
1,4,16,4294967334,128,4
1,8,8,8589934658,64,8
1,16,4,17179869306,32,16
1,1,16,1108135124994,5,270540802
1,32,524296,100
1,16,1048584,208
1,4,16,4294967334,128,4
1,8,8,8589934658,64,8
1,16,4,17179869306,32,16
2,2,16,2147483672,208,2
2,4,8,4294967334,104,4
2,8,4,8589934658,52,8
2,16,2,17179869306,26,16
4,1,16,1073741841,368,1
4,2,8,2147483672,184,2
4,4,4,4294967334,92,4
4,8,2,8589934658,46,8
8,1,8,1073741841,344,1
8,2,4,2147483672,172,2
8,4,2,4294967334,86,4
1,2,16,4294967320,128,2
1,4,8,8589934630,64,4
1,8,4,17179869250,32,8
1,16,2,34359738490,16,16
2,1,16,2147483665,208,1
2,2,8,4294967320,104,2
2,4,4,8589934630,52,4
2,8,2,17179869250,26,8
4,1,8,2147483665,184,1
4,2,4,4294967320,92,2
4,4,2,8589934630,46,4
8,1,4,2147483665,172,1
8,2,2,4294967320,86,2
1,1,16,1108135124994,5,270540802
1,2,8,8589934616,64,2
1,4,4,17179869222,32,4
1,8,2,34359738434,16,8
2,1,8,4294967313,104,1
2,2,4,8589934616,52,2
2,4,2,17179869222,26,4
4,1,4,4294967313,92,1
4,2,2,8589934616,46,2
8,1,2,4294967313,86,1
1,16,1048584,104
1,4,16,1073741841,368,1
1,8,8,1073741841,344,1
1,16,4,1073741841,332,1
2,2,16,2147483672,208,2
2,4,8,2147483672,184,2
2,8,4,2147483672,172,2
2,16,2,2147483672,166,2
4,1,16,4294967334,128,4
4,2,8,4294967334,104,4
4,4,4,4294967334,92,4
4,8,2,4294967334,86,4
8,1,8,8589934658,64,8
8,2,4,8589934658,52,8
8,4,2,8589934658,46,8
1,2,16,2147483665,208,1
1,4,8,2147483665,184,1
1,8,4,2147483665,172,1
1,16,2,2147483665,166,1
2,1,16,4294967320,128,2
2,2,8,4294967320,104,2
2,4,4,4294967320,92,2
2,8,2,4294967320,86,2
4,1,8,8589934630,64,4
4,2,4,8589934630,52,4
4,4,2,8589934630,46,4
8,1,4,17179869250,32,8
8,2,2,17179869250,26,8
1,1,16,1108135124994,5,270540802
1,2,8,4294967313,104,1
1,4,4,4294967313,92,1
1,8,2,4294967313,86,1
2,1,8,8589934616,64,2
2,2,4,8589934616,52,2
2,4,2,8589934616,46,2
4,1,4,17179869222,32,4
4,2,2,17179869222,26,4
8,1,2,34359738434,16,8
1,16,1048584,104
2,8,2097160,104
4,4,4194312,104
1,4,16,1073741841,368,1
1,8,8,1073741841,344,1
1,16,4,1073741841,332,1
2,2,16,2147483672,208,2
2,4,8,2147483672,184,2
2,8,4,2147483672,172,2
2,16,2,2147483672,166,2
4,1,16,4294967334,128,4
4,2,8,4294967334,104,4
4,4,4,4294967334,92,4
4,8,2,4294967334,86,4
8,1,8,8589934658,64,8
8,2,4,8589934658,52,8
8,4,2,8589934658,46,8
1,1,16,1108135124994,5,270540802
1,16,1048584,104
2,8,2097160,104
4,4,4194312,104
1,4,16,1073741841,368,1
1,8,8,1073741841,344,1
1,16,4,1073741841,332,1
2,2,16,2147483672,208,2
